frame,t_ms,face_present,ParamAngleX,ParamAngleY,ParamAngleZ,ParamEyeLOpen,ParamEyeROpen,ParamEyeBallX,ParamEyeBallY,ParamMouthOpenY,ParamMouthForm,ParamBodyAngleX,ParamBodyAngleY,ParamBodyAngleZ,ParamBreath
0,10,True,-1.2353400778097208,0.028583651901120888,-0.7169925751304554,0.8548470586538315,0.890748642385006,-0.06294971330623543,-0.22495571868494157,0,-0.0011424319952766382,-0.26765701685877286,0.004287547785168134,-0.11949876252174257,0.19747110857276307
1,77,True,-1.1577195845931558,0.10621212805112634,-0.9546921935124031,0.8526924103498459,0.9002532660961151,-0.06634362599413311,-0.2477825029753149,0,-0.0012902440431616924,-0.25083924332851715,0.01593181920766895,-0.15911536558540051,0.24076259698902236
2,127,True,-1.1345609282366977,0.08882336694910986,-1.1328792306660747,0.8546909093856812,0.9017334952950478,-0.05756700223843968,-0.24783314922824506,0,-0.0012085158803074592,-0.24582153445128452,0.01332350504236648,-0.18881320511101246,0.2751066474160347
3,194,True,-1.1561337305381019,0.101153379868407,-1.1420790473134088,0.8579926043748856,0.9071017503738403,-0.05395681223432934,-0.25770101901143794,0,-0.0010406245594367647,-0.25049564161658877,0.01517300698026105,-0.19034650788556814,0.32304218893509945
4,244,True,-1.1917671240874634,0.1396042384680971,-0.9865603628142647,0.8589741587638855,0.9118877947330475,-0.05777782759230053,-0.2581618593074382,0,-0.000835640672903537,-0.2582162102189504,0.02094063577021457,-0.1644267271357108,0.3602027893767359
5,310,True,-1.165708544662015,0.1707608593093859,-1.0050556206285701,0.8596216440200806,0.9154195934534073,-0.06108921019892609,-0.25740331569686536,0,-0.0006085752773969944,-0.2525701846767699,0.025614128896407885,-0.1675092701047617,0.411174216553472
6,360,True,-1.1796104293108005,0.15833082102304363,-0.9451287455858405,0.8596672117710114,0.9155724570155144,-0.05967478452782547,-0.2527206388302148,0,-0.0005443205210440283,-0.25558225968400683,0.023749623153456547,-0.15752145759764008,0.45005357794786244
7,410,True,-1.2233579256084557,0.09652810591652017,-0.9084975454951414,0.8530745059251785,0.9064290598034859,-0.06620061396222031,-0.2540034690871835,0,-0.000553293972643587,-0.2650608838818321,0.014479215887478025,-0.15141625758252356,0.4892408756430754
8,477,True,-1.296542345828728,0.03159766618427984,-0.8826765664369026,0.8469735682010651,0.8998710587620735,-0.07938186264197743,-0.2580636178143323,0,-0.0006264434144895858,-0.2809175082628911,0.004739649927641976,-0.1471127610728171,0.5414997664132262
9,527,True,-1.353476750641087,0.017132636572609883,-0.8104028749626501,0.8466453105211258,0.9024660289287567,-0.08652680179636395,-0.2658685415051878,0,-0.0006342462372685986,-0.2932532959722355,0.0025698954858914824,-0.13506714582710833,0.5805435412649332
10,577,True,-1.3656059201929378,-0.02307754392991601,-0.769958510184095,0.8475434631109238,0.9008502513170242,-0.0935626793519727,-0.2682077043689788,0,-0.000697631370826457,-0.29588128270846986,-0.0034616315894874018,-0.12832641836401584,0.6189361861173581
11,644,True,-1.2589713513734608,-0.0032839942350442186,-0.6650101969322586,0.8508938699960709,0.9002111405134201,-0.07988272419731533,-0.26562657831236725,0,-0.0007068149619726682,-0.27277712613091654,-0.0004925991352566329,-0.1108350328220431,0.6690733402988421
12,694,True,-1.2701087425038946,-0.011510354170785497,-0.5960487906909941,0.8536434471607208,0.8997881934046745,-0.07291177845160877,-0.2653770672157407,0,-0.0006877273792724736,-0.27519022754251055,-0.0017265531256178245,-0.0993414651151657,0.7054708129227265
13,760,True,-1.2179607305992461,-0.005754513040343134,-0.5170427946364846,0.8553072810173035,0.9019755721092224,-0.06221266648332989,-0.25994401676580314,0,-0.0007495126595813417,-0.26389149162983666,-0.0008631769560514702,-0.08617379910608076,0.752015130010483
14,810,True,-1.3096448721371894,-0.0001173798675218052,-0.4516307711499133,0.8593650311231613,0.9047679901123047,-0.06913185118298447,-0.25637228526175027,0,-0.0007502398998440185,-0.28375638896305766,-1.7606980128270778e-05,-0.07527179519165221,0.7851202625285462
15,860,True,-1.3602592383695953,-0.0063667711722432685,-0.3716119256617369,0.8610270619392395,0.9080195128917694,-0.07790817132751858,-0.25240577543154363,0,-0.0007759021300444147,-0.29472283498007895,-0.0009550156758364903,-0.06193532094362282,0.8164675338160123
16,926,True,-1.3867680267247442,0.006605667225814571,-0.2822075235191017,0.8592344224452972,0.906865768134594,-0.10215032658140576,-0.25635985583066945,0,-0.000829037729204174,-0.30046640579036127,0.0009908500838721856,-0.047034587253183616,0.8546623647861369
17,977,True,-1.3404062432941275,0.08069893099076264,-0.25647719348270265,0.8591883480548859,0.9052442759275436,-0.09505105203549778,-0.2476196463219822,0,-0.0006545065803038597,-0.2904213527137276,0.012104839648614396,-0.04274619891378378,0.8817289815477926
18,1044,True,-1.2085388475132552,0.1353393127903475,-0.3748164680788427,0.857931911945343,0.9059962034225464,-0.08956468476514733,-0.23620093399658804,0,-0.0006382457008839992,-0.261850083627872,0.020300896918552126,-0.06246941134647379,0.913407803449757
19,1093,True,-0.3412732446196142,0.1238975179344779,-2.023423881960475,0.849272146821022,0.905626155436039,-0.04166032000045693,-0.24470762135460977,0,-0.000709277220266813,-0.07394253633424974,0.018584627690171687,-0.3372373136600792,0.9337699222005573
20,1143,True,1.3089392098679689,0.22695193296206106,-4.283888920251837,0.8451646566390991,0.9034544602036476,0.07627446485151136,-0.260680524352938,0,-0.0011577903701436298,0.28360349547139324,0.03404278994430916,-0.7139814867086394,0.951944263867834
21,1210,True,2.2864399141818463,0.21682355105149576,-6.493374538787949,0.8312034755945206,0.8932285979390144,0.17011446088020288,-0.2561379617080093,0,-0.001464726160520513,0.49539531473940007,0.03252353265772436,-1.0822290897979914,0.9720934000094053
22,1259,True,3.305290208664506,0.41413076771804036,-10.014074731280559,0.808013305068016,0.8896379247307777,0.21517632716734492,-0.2620000184513629,0,-0.0010053036507997604,0.7161462118773096,0.06211961515770605,-1.6690124552134264,0.983360384104826
23,1327,True,5.487040616251717,0.8680889574513468,-17.890640464758658,0.8070113509893417,0.8798811882734299,0.3995090436789074,-0.2331981269642711,0,-0.0007069439361657714,1.1888588001878722,0.13021334361770204,-2.9817734107931098,0.9942072756657111
24,1377,True,8.75455012465954,1.2079711550931451,-25.84526743542672,0.8158839195966721,0.8735595792531967,0.49068563851927005,-0.2285692144185305,0,-0.0010167078767153725,1.8968191936762338,0.18119567326397176,-4.30754457257112,0.9986321972647273
25,1427,True,10.992171187424981,1.0410653910462617,-30,0.847116231918335,0.866228774189949,0.5422975092793682,-0.20982023300603037,0,-0.009321479555183032,2.381637090608746,0.15615980865693926,-5,0.999994448357798
26,1494,True,14.752672643839123,1.4787349863101173,-30,0.8382841795682907,0.8538585752248764,0.5894024476425589,-0.17963763391599064,0,-0.019340513526913128,3.1964124061651433,0.2218102479465176,-5,0.9970148536758672
27,1544,True,17.771593037792496,1.6247856932716003,-30,0.87008036673069,0.8891710340976715,0.6144437681201712,-0.10431653978303078,0,-0.014899765387781372,3.8505118248550407,0.24371785399074006,-5,0.9912023959887399
28,1610,True,19.89308292466171,1.4182129416870204,-30,0.9079984799027443,0.9069693833589554,0.620733989648787,-0.013257227558642656,0,-0.017496465178737708,4.310167967010037,0.21273194125305306,-5,0.9787429045511714
29,1660,True,21.97214377385803,1.6771570946798464,-30,0.9125308021903038,0.9304099902510643,0.696913725476978,-0.05295128161087635,0,-0.018144882198157575,4.760631151002573,0.25157356420197696,-5,0.9660070974389723
30,1727,True,24.170602678563576,2.2350848047134066,-30,0.9123589769005775,0.9142672792077065,0.7373566728334741,-0.06668458944186571,0,-0.024668162512170966,5.236963913688774,0.335262720707011,-5,0.9444646098105567
31,1776,True,25.268222008961814,2.40453466095384,-30,0.9064031839370728,0.8867461010813713,0.7436621399380133,-0.05978209497407082,0,-0.026995363147761964,5.474781435275061,0.36068019914307603,-5,0.9254972408973459
32,1826,True,25.321511396713284,2.4213763473547907,-30,0.9080316349864006,0.8781467154622078,0.755058666297035,-0.03963584052398804,0,-0.027758079955674475,5.486327469287877,0.3632064521032186,-5,0.9036295705785673
33,1894,True,25.317184491938722,2.3249358198174166,-30,0.9123257845640182,0.8701487183570862,0.7502173688104709,-0.029655880946666033,0,-0.037386038459317206,5.48538997325339,0.3487403729726125,-5,0.8700269075935511
34,1944,True,23.669787384605442,2.034055411979338,-30,0.9191349148750305,0.8931115046143532,0.7104045055590437,-0.04913190724328163,0,-0.03531983717766707,5.128453933331179,0.30510831179690073,-5,0.8426169192714884
35,1993,True,22.093722980892615,1.6602404333870142,-30,0.933169886469841,0.9116064608097076,0.6774912630922959,-0.052069604117423327,0,-0.036902225426274526,4.786973312526734,0.24903606500805214,-5,0.8134786995935388
36,2060,True,19.36481598653103,1.1559504265666396,-30,0.9422606788575649,0.9135644137859344,0.6522865073189937,0.01065468443557617,0,-0.029458671971951844,4.195710130415057,0.17339256398499595,-5,0.7703624531304715
37,2110,True,15.40847675877584,1.1832102507036995,-30,0.9134523123502731,0.8693580329418182,0.46019894340009027,-0.11599525036290291,0,-0.007214002630462346,3.3385032977347655,0.17748153760555493,-5,0.736529140405518
38,2177,True,13.408688380617386,1.071785131949607,-30,0.8819989562034607,0.8727441281080246,0.4328482130209782,-0.11414905795827511,0,-0.005816923611973834,2.9052158158004335,0.16076776979244106,-5,0.6891627598536441
39,2226,True,10.369250200276179,1.0436716024165822,-26.735212450719054,0.8734099417924881,0.798055961728096,0.30242956757013284,-0.2134086007252336,0,-0.006282974982354972,2.2466708767265056,0.15655074036248734,-4.455868741786509,0.6530138210942503
40,2294,True,6.8255427991897575,0.6900765717490227,-18.532037143860894,0.8593180626630783,0.7590379565954208,0.22951455788154684,-0.22124000703915958,0,-0.004691018650532897,1.4788676064911144,0.1035114857623534,-3.088672857310149,0.6017012595625149
41,2344,True,4.313818809527109,0.31687159931977416,-10.10226076393544,0.8737442344427109,0.7713179737329483,0.08193405625809515,-0.26230209898203616,0,-0.0014886963665503572,0.934660742064207,0.04753073989796613,-1.6837101273225734,0.5629003713347134
42,2394,True,3.192873976827043,0.4674330770494439,-5.215949986604784,0.8287865817546844,0.7746149897575378,0.08231407684673155,-0.34010704881511633,0,-0.0013253879641297317,0.6917893616458594,0.07011496155741659,-0.869324997767464,0.5238670311942414
43,2460,True,1.0719533794524123,0.6716699530923274,0.5506879266998452,0.835390254855156,0.8040534406900406,0.022631512968135717,-0.30915716635063295,0,-0.0006294822273957834,0.2322565655480227,0.10075049296384911,0.09178132111664086,0.47150549308227946
44,2510,True,-0.2671171235775005,0.2502199963096299,4.240115378794825,0.8551593124866486,0.8792606145143509,-0.01907708867053902,-0.3110294274054468,0.1610552893056498,0.00865679740672931,-0.05787537677512511,0.03753299944644448,0.7066858964658042,0.4324275399181672
45,2576,True,-0.28237643471592183,0.00451161938243505,5.800092844348009,0.8283897936344147,0.854074239730835,-0.059780763448881266,-0.26331905666738753,0.25370587156964586,0.318315750308102,-0.0611815608551164,0.0006767429073652576,0.9666821407246682,0.3817505014881376
46,2627,True,-0.18413297520702024,-0.30748966882969153,6.864115045480977,0.7954503744840622,0.8428268730640411,-0.037249540896820185,-0.24803337426856165,0.1507476723039305,0.6577627247315831,-0.039895477961521056,-0.04612345032445373,1.1440191742468295,0.34325235253445113
47,2694,True,0.24319233669787182,-0.6143961391091466,6.809891740915624,0.7776621580123901,0.8323973119258881,-0.032916409881519434,-0.2440820063464344,0.03981740985597883,0.8142281312029809,0.05269167295120556,-0.092159420866372,1.1349819568192707,0.2945291870772944
48,2743,True,0.20586250226245137,-0.6612881610697903,6.8721667443057814,0.7800605595111847,0.8043899387121201,-0.10367261989574349,-0.23105580052360897,0.04244713582001723,0.841826656833291,0.04460354215686446,-0.09919322416046854,1.1453611240509636,0.26008729414517423
49,2794,True,0.19112090144967744,-0.655893257957616,6.5559880105732935,0.78246009349823,0.7916482388973236,-0.12585361859362043,-0.20989763988181953,0.05383290989058358,0.8551984949735925,0.04140952864743011,-0.0983839886936424,1.0926646684288823,0.22575122179668022
50,2860,True,0.43443417871153456,-0.634989904389144,6.214776869912209,0.7871172428131104,0.7926016300916672,-0.12754869645993627,-0.21234258981421594,0.07710292122580788,0.8316423089709133,0.09412740538749917,-0.09524848565837161,1.035796144985368,0.18353246618398783
51,2910,True,0.4942804903799549,-0.6750619258760153,6.2346691819805455,0.7895388156175613,0.7977569848299026,-0.11828955820362484,-0.21026377631351356,0.0760327469218861,0.8268022715346888,0.10709410624899023,-0.1012592888814023,1.0391115303300908,0.15413632247863102
52,2977,True,0.4560629313344071,-0.5573500902463406,6.45630065215332,0.7921534776687622,0.8075960874557495,-0.12142508661906636,-0.2086511568166316,0.08214889950566477,0.8059657445410267,0.09881363512245488,-0.0836025135369511,1.07605010869222,0.11832174869253081
53,3027,True,0.3200845513564189,-0.067669254657444,6.492677011888935,0.8131250441074371,0.8298943787813187,-0.1519336011127702,-0.18715636404231195,0.06279947076525007,0.01987099088728428,0.06935165279389076,-0.0101503881986166,1.0821128353148226,0.09415693255446522
54,3077,True,0.5438740927012473,0.32364859173475224,5.8564979851257695,0.8698728084564209,0.8608385026454926,-0.14874201918553032,-0.1785803471691907,0.32306230068206787,-0.06472508131992072,0.11783938675193693,0.04854728876021284,0.9760829975209616,0.072453547693208
55,3144,True,0.36188408084815177,0.4617454926296105,5.4707360071780515,0.8712005168199539,0.8752250000834465,-0.2043125377834908,-0.12411032496020201,0.3544158145978853,-0.05775218919006875,0.07840821751709956,0.06926182389444158,0.9117893345296753,0.04768684587820837
56,3194,True,0.2753644466687458,0.38100777525557206,5.160373000197938,0.8699021339416504,0.8821290284395218,-0.20953143526400841,-0.09032859625294808,0.34753155553495724,-0.08147467689195764,0.05966229677822826,0.05715116628833581,0.8600621666996564,0.03238912429963309
57,3260,True,0.3222050326462903,0.36434505885478785,4.790083606185624,0.8777235001325607,0.892683632671833,-0.19105068034093298,-0.09912768723443154,0.3091961315699986,-0.14429198525795073,0.06981109040669624,0.054651758828218176,0.7983472676976039,0.0164592606872358
58,3310,True,0.29353321602490107,0.2855809546171404,4.536349761540691,0.8727333545684814,0.8975187912583351,-0.17758318501125492,-0.09652027832344177,0.28296486278633015,-0.17486706482304726,0.0635988634720619,0.04283714319257106,0.7560582935901152,0.007953274378224795
59,3377,True,0.19449321079940843,0.2622857694660805,4.238426262908352,0.8729492276906967,0.9002618491649628,-0.17597396018515743,-0.09314436716958883,0.2921311669535451,-0.19351540306888637,0.042140195673205164,0.039342865419912075,0.7064043771513919,0.0013620034569214456
60,3427,True,0.031276349791347344,0.2280743535859111,4.14296004415583,0.8732348084449768,0.8997280076146126,-0.20817159906561888,-0.08788842493668202,0.2944192112266243,-0.19593505552984425,0.0067765424547919255,0.03421115303788667,0.6904933406926382,5.551642202006324e-06
61,3477,True,-0.047242831550376965,0.1579362802099622,3.665664407120624,0.8782627135515213,0.90460105240345,-0.20888140330623306,-0.10540906591340903,0.2977883831247107,-0.19126651014084928,-0.010235946835915008,0.02369044203149433,0.6109440678534374,0.0017252069513792878
62,3544,True,0.15140456443060318,0.2062629745561324,3.0538100538671813,0.8685147911310196,0.8993549719452858,-0.10427679492692864,-0.13266361383721237,0.2979119272975178,-0.17073440612875856,0.03280432229329736,0.03093944618341986,0.5089683423111969,0.008797604011255844
63,3594,True,0.22571554463492624,0.25993370403527205,2.608551472135176,0.8660666793584824,0.8954214081168175,0.006513362763715627,-0.1348123175092042,0.2865196218738308,-0.163682834507199,0.04890503467090068,0.038990055605290806,0.43475857868919604,0.017638487811023784
64,3644,True,0.09490129009455299,0.3012424021360305,2.0838156588733066,0.8645087480545044,0.8955337926745415,0.052588811157537343,-0.12430883077904585,0.28951804514055124,-0.1393823682483344,0.02056194618715315,0.04518636032040457,0.3473026098122178,0.02947985451814361
65,3710,True,0.16038488875686166,0.31514344174922115,1.6263795019529679,0.8584050089120865,0.883949525654316,0.055035594398421886,-0.12502427278086548,0.29102782305184893,-0.1165099746103806,0.03475005923065336,0.04727151626238318,0.2710632503254946,0.04971535141224298
66,3760,True,0.02213310440255931,0.306504564124813,1.5075283136715871,0.8573304861783981,0.8815562874078751,0.022915420135749223,-0.1292272514663637,0.2934701040193632,-0.11180552978657943,0.004795505953887851,0.045975684618721945,0.2512547189452645,0.06811742166626317
67,3826,True,0.08852866632819759,0.2992948945113092,1.3128791741097998,0.8555846959352493,0.8733317703008652,0.06957513467807853,-0.12055187644436959,0.29459233562667647,-0.11577728017527988,0.019181211037776143,0.04489423417669638,0.21881319568496663,0.09637042942144625
68,3876,True,0.057645945038023116,0.2860696918077865,1.1608679147965058,0.8547242879867554,0.8785731568932533,0.052969052469623926,-0.12830395875498657,0.29141536935583334,-0.1200021225204182,0.012489954758238343,0.04291045377116798,0.19347798579941763,0.12076785213274976
69,3927,True,-0.054107767946387234,0.27645728349761356,1.0939607953644426,0.8558147698640823,0.8707543909549713,0.07150425018210495,-0.12838179497048263,0.2874965187791106,-0.12856242552879849,-0.011723349721717232,0.04146859252464204,0.18232679922740708,0.14811660994605486
