part_a,part_b,score,bbox_gap,contact_length,draw_order_gap,shared_chain_depth,chain_a,chain_b,physics_a,physics_b
neck_under,hair_front_L,80.015,65.0,0,501.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
neck_under,hair_front_C,80.015,65.0,0,502.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
neck_under,hair_front_R,80.015,145.0,0,503.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
clothes,face_base,71.627,43.0,0,109.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
clothes,hair_front_L,68.015,95.0,0,490.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
clothes,hair_front_C,68.015,95.0,0,491.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
neck_under,mouth_parts_lower_lip,62.562,59.0,0,209.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
neck_under,mouth_parts_tongue,62.482,73.0,0,207.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
neck_under,mouth_parts_interior,62.442,59.0,0,206.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
neck_skin,hair_front_L,62.25,77.0,0,489.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
neck_skin,hair_front_C,62.25,77.0,0,490.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
neck_skin,hair_front_R,62.25,157.0,0,491.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
hair_back_L,R_arm,60.565,34.0,0,120.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
hair_back_L,L_arm,60.565,74.632,0,120.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
neck,hair_front_L,59.9,0.0,47,500.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
neck_under,choker,58.576,0.0,26,31.0,1,root_warp>body_warp,root_warp>upper_warp>neck_warp,0,1
neck,hair_front_R,57.7,0.0,91,502.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
neck,hair_front_C,57.45,0.0,96,501.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
hair_back_L,neck_under,57.175,0.0,51,99.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
hair_back_R,neck_under,57.135,0.0,51,98.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
choker,mouth_parts_lower_lip,56.753,74.0,0,178.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,1,0
choker,mouth_parts_interior,56.633,74.0,0,175.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,1,0
hair_back_L,R_ear_outer,56.43,0.0,90,217.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
hair_back_R,L_ear_outer,56.43,0.0,90,217.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
neck_under,shoulder_hair,56.285,124.31,0,13.0,1,root_warp>body_warp,root_warp>back_hair_warp,0,1
neck,clothes,55.886,0.0,63,10.0,1,root_warp>upper_warp>neck_warp,root_warp>body_warp,0,1
hair_back_R,hair_front_L,54.778,39.0,0,599.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
shoulder_hair,L_arm,54.585,0.0,30,8.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
hair_back_L,L_ear_outer,54.07,4.0,138,218.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
neck_under,face_base,53.467,13.0,132,120.0,1,root_warp>body_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
clothes,neck_skin,53.076,0.0,112,1.0,1,root_warp>body_warp,root_warp>upper_warp>neck_warp,1,0
hair_back_L,neck_skin,52.873,0.0,48,111.0,1,root_warp>back_hair_warp,root_warp>upper_warp>neck_warp,1,0
hair_back_R,face_base,52.47,0.0,170,218.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
hair_back_R,neck_skin,51.333,0.0,78,110.0,1,root_warp>back_hair_warp,root_warp>upper_warp>neck_warp,1,0
neck,shoulder_hair,51.313,89.0,0,12.0,1,root_warp>upper_warp>neck_warp,root_warp>back_hair_warp,0,1
neck_skin,shoulder_hair,50.873,92.0,0,1.0,1,root_warp>upper_warp>neck_warp,root_warp>back_hair_warp,0,1
hair_back_R,neck,50.743,0.0,81,99.0,1,root_warp>back_hair_warp,root_warp>upper_warp>neck_warp,1,0
hair_back_R,L_arm,50.375,0.0,203,119.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
hair_back_L,face_base,50.01,0.0,327,219.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
choker,face_base,49.774,28.0,0,89.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
hair_back_R,hair_front_C,49.578,0.0,104,600.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
hair_back_L,hair_front_R,48.578,0.0,124,602.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
hair_back_L,clothes,46.665,0.0,30,110.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,1
hair_back_L,neck,46.483,0.0,167,100.0,1,root_warp>back_hair_warp,root_warp>upper_warp>neck_warp,1,0
