part_a,part_b,score,bbox_gap,contact_length,draw_order_gap,shared_chain_depth,chain_a,chain_b,physics_a,physics_b
neck_skin,mouth_parts_lower_lip,45.513,71.0,0,197.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
neck_skin,mouth_parts_interior,45.393,71.0,0,194.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
neck,mouth_parts_teeth,45.363,0.0,11,207.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
hair_back_R,hair_front_R,45.278,0.0,190,601.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
neck_under,neck_skin,45.166,0.0,39,12.0,1,root_warp>body_warp,root_warp>upper_warp>neck_warp,0,0
neck,mouth_parts_tongue,45.123,0.0,15,206.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
neck,mouth_line,44.983,0.0,21,210.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
hair_back_L,hair_front_L,44.828,0.0,199,600.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
neck_under,neck,44.126,0.0,51,1.0,1,root_warp>body_warp,root_warp>upper_warp>neck_warp,0,0
neck,mouth_parts_lower_lip,44.003,0.0,39,208.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
hair_back_L,hair_front_C,43.778,0.0,257,601.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,1,1
neck,mouth_parts_interior,43.333,0.0,50,205.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,0,0
hair_back_L,choker,42.733,0.0,26,130.0,1,root_warp>back_hair_warp,root_warp>upper_warp>neck_warp,1,1
hair_back_R,choker,42.693,0.0,26,129.0,1,root_warp>back_hair_warp,root_warp>upper_warp>neck_warp,1,1
clothes,shoulder_hair,41.595,0.0,45,2.0,1,root_warp>body_warp,root_warp>back_hair_warp,1,1
neck,nose_reference,41.564,0.0,25,215.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
clothes,choker,40.636,0.0,136,20.0,1,root_warp>body_warp,root_warp>upper_warp>neck_warp,1,1
R_iris,hair_front_R,39.898,68.0,0,192.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_eye_white,hair_front_R,39.458,61.0,0,202.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
neck,L_ear_outer,38.934,37.0,0,118.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
neck,R_ear_outer,38.894,60.0,0,117.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
neck_skin,face_base,38.534,25.0,0,108.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
R_brow,hair_front_R,38.48,54.0,0,162.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_brow,hair_front_L,38.4,66.0,0,160.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_upper_lash,hair_front_R,38.258,55.0,0,172.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_upper_lash,hair_front_L,38.178,68.0,0,170.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_R_blink,hair_front_R,37.978,35.0,0,165.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_L_blink,hair_front_L,37.938,57.0,0,164.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_R_smile,hair_front_R,37.898,35.0,0,163.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_L_smile,hair_front_L,37.858,57.0,0,162.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_brow,hair_front_R,37.83,0.0,13,162.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_brow,hair_front_C,37.79,0.0,13,161.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_brow,hair_front_C,37.64,0.0,16,161.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_brow,hair_front_L,37.6,0.0,16,160.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_iris,hair_front_C,37.508,0.0,47,191.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_iris,hair_front_L,37.468,0.0,47,190.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_iris,hair_front_R,37.398,0.0,50,192.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_eye_white,hair_front_C,37.368,0.0,41,201.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_iris,hair_front_C,37.358,0.0,50,191.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_eye_white,hair_front_L,37.328,0.0,41,200.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_eye_white,hair_front_R,37.308,0.0,43,202.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_eye_white,hair_front_C,37.268,0.0,43,201.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
hair_back_R,clothes,37.125,0.0,277,109.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,1
L_upper_lash,hair_front_R,35.558,0.0,54,172.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
L_upper_lash,hair_front_C,35.518,0.0,54,171.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_upper_lash,hair_front_C,35.218,0.0,60,171.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
R_upper_lash,hair_front_L,35.178,0.0,60,170.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
accent_tear,hair_front_R,34.05,0.0,32,110.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
accent_blush,hair_front_R,33.93,0.0,36,112.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_L_blink,hair_front_C,33.678,0.0,86,165.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_L_smile,hair_front_C,33.598,0.0,86,163.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
accent_blush,hair_front_C,32.64,0.0,61,111.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
accent_blush,hair_front_L,32.6,0.0,61,110.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_R_blink,hair_front_C,32.538,0.0,108,164.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_R_smile,hair_front_C,32.458,0.0,108,162.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
accent_tear,hair_front_C,31.76,4.0,77,109.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
hair_front_C,accent_sweat,31.69,43.0,0,11.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
neck,face_base,31.574,0.0,148,119.0,2,root_warp>upper_warp>neck_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
eye_L_blink,hair_front_R,30.968,0.0,141,166.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_R_blink,hair_front_L,30.948,0.0,139,163.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_L_smile,hair_front_R,30.888,0.0,141,164.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_R_smile,hair_front_L,30.868,0.0,139,161.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
hair_front_R,accent_sweat,30.85,0.0,16,10.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
eye_expr_smile,hair_front_R,29.13,0.0,156,142.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_smile,hair_front_C,29.09,0.0,156,141.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_wink,hair_front_R,29.09,0.0,156,141.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_smile,hair_front_L,29.05,0.0,156,140.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_wink,hair_front_C,29.05,0.0,156,140.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_wink,hair_front_L,29.01,0.0,156,139.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_jito,hair_front_R,29.01,0.0,156,139.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_surprise,hair_front_R,29.0,0.0,157,140.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_jito,hair_front_C,28.97,0.0,156,138.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_squeeze,hair_front_R,28.97,0.0,156,138.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_surprise,hair_front_C,28.96,0.0,157,139.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_jito,hair_front_L,28.93,0.0,156,137.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_squeeze,hair_front_C,28.93,0.0,156,137.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_heart,hair_front_R,28.93,0.0,156,137.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_surprise,hair_front_L,28.92,0.0,157,138.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_squeeze,hair_front_L,28.89,0.0,156,136.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_heart,hair_front_C,28.89,0.0,156,136.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
eye_expr_heart,hair_front_L,28.85,0.0,156,135.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,0,1
hair_front_L,accent_gloom,28.8,0.0,57,10.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
hair_front_R,accent_gloom,28.42,0.0,63,8.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>front_hair_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,1,0
L_iris,accent_sweat,27.52,56.859,0,202.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
L_eye_white,accent_sweat,26.78,40.497,0,212.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_interior,accent_tear,26.669,71.063,0,187.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_tongue,accent_blush,26.549,32.0,0,184.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
R_iris,accent_gloom,26.54,0.0,18,200.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_line,accent_tear,26.469,67.476,0,182.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
L_iris,accent_gloom,26.39,0.0,21,200.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
L_eye_white,accent_gloom,25.95,0.0,15,210.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_interior,eye_expr_heart,25.589,72.0,0,160.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_interior,eye_expr_squeeze,25.549,72.0,0,159.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_interior,eye_expr_jito,25.509,72.0,0,158.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_teeth,eye_expr_heart,25.509,77.0,0,158.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_interior,eye_expr_surprise,25.469,71.0,0,157.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_teeth,eye_expr_squeeze,25.469,77.0,0,157.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
R_eye_white,accent_gloom,25.45,0.0,25,210.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_interior,eye_expr_wink,25.429,72.0,0,156.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_teeth,eye_expr_jito,25.429,77.0,0,156.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_interior,eye_expr_smile,25.389,72.0,0,155.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_teeth,eye_expr_surprise,25.389,76.0,0,155.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_line,eye_expr_heart,25.389,63.0,0,155.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_teeth,eye_expr_wink,25.349,77.0,0,154.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_line,eye_expr_squeeze,25.349,63.0,0,154.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_parts_teeth,eye_expr_smile,25.309,77.0,0,153.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_line,eye_expr_jito,25.309,63.0,0,153.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
R_ear_outer,eye_R_smile,25.28,0.0,38,222.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,0,0
mouth_line,eye_expr_surprise,25.269,62.0,0,152.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
mouth_line,eye_expr_wink,25.229,63.0,0,151.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
R_ear_outer,eye_R_blink,25.2,0.0,38,220.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,0,0
mouth_line,eye_expr_smile,25.189,63.0,0,150.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>mouth_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
L_upper_lash,accent_sweat,25.18,15.0,8,182.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,root_warp>upper_warp>head_z_warp>head_angle_warp,0,0
L_ear_outer,eye_L_smile,25.05,0.0,41,220.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,0,0
R_ear_outer,R_upper_lash,25.02,0.0,36,213.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_R_warp,0,0
L_ear_outer,eye_L_blink,24.97,0.0,41,218.0,4,root_warp>upper_warp>head_z_warp>head_angle_warp,root_warp>upper_warp>head_z_warp>head_angle_warp>eye_L_warp,0,0
