part_id,folder,draw_order,primary_deformer,deformer_chain,direct_binding_count,physics_profile_count,bbox,vertex_count,triangle_count
L_arm,Body,220,body_warp,root_warp>body_warp,0,0,"[1223, 711, 203, 1078]",20,24
L_brow,Face,540,head_angle_warp,root_warp>upper_warp>head_angle_warp,2,0,"[1065, 309, 111, 13]",20,24
L_ear_outer,Face,318,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[1156, 362, 90, 138]",20,24
L_eye_white,Eye,500,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1082, 378, 89, 43]",20,24
L_iris,Eye,510,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,4,0,"[1088, 372, 50, 50]",20,24
L_upper_lash,Eye,530,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1067, 355, 126, 54]",20,24
R_arm,Body,220,body_warp,root_warp>body_warp,0,0,"[626, 722, 206, 1047]",20,23
R_brow,Face,540,head_angle_warp,root_warp>upper_warp>head_angle_warp,2,0,"[867, 315, 107, 16]",20,24
R_ear_outer,Face,317,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[802, 362, 90, 135]",20,24
R_eye_white,Eye,500,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[880, 388, 87, 41]",20,24
R_iris,Eye,510,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,4,0,"[912, 382, 48, 47]",20,24
R_upper_lash,Eye,530,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[856, 361, 117, 60]",20,24
accent_blush,Face,590,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[881, 447, 289, 61]",20,24
accent_gloom,Face,710,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[942, 123, 149, 270]",20,24
accent_sweat,Face,712,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[1185, 288, 16, 52]",20,24
accent_tear,Face,592,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[1146, 425, 32, 77]",20,24
choker,Body,230,neck_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,1,"[969, 643, 136, 26]",20,24
clothes,Body,210,body_warp,root_warp>body_warp,0,1,"[751, 658, 575, 712]",81,127
ear_inner,Face,605,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
eye_L_blink,Eye,536,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1056, 313, 141, 149]",156,250
eye_L_smile,Eye,538,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1056, 313, 141, 149]",156,250
