parameter,median_delta,p95_delta,low_motion_p95_delta,sample_count
ParamAngleX,0.867266,3.543707,0.073184,47
ParamAngleY,0.096441,0.453958,0.074093,47
ParamAngleZ,0.072274,7.954627,0.155519,47
ParamBodyAngleX,0.187908,0.767803,0.015857,47
ParamBodyAngleY,0.014466,0.068094,0.011114,47
ParamBodyAngleZ,0.012046,1.325771,0.02592,47
ParamBreath,0.036149,0.051313,0.050971,47
ParamEyeBallX,0.022531,0.147581,0.013181,47
ParamEyeBallY,0.008507,0.091059,0.00998,47
ParamEyeLOpen,0.006101,0.032939,0.006101,47
ParamEyeROpen,0.007331,0.044206,0.008599,47
ParamMouthForm,0.000449,0.156465,0.000763,47
ParamMouthOpenY,0.0,0.102958,0.0,47
